ger,eng,fra,ita,cze,rus,pol,spa,por,hun,l10(简体中文),l11(繁体中文),l12(日语),l13(韩语),l14(印地语),l15(阿拉伯语),l16(孟加拉语),l17(印度尼西亚语),l18(土耳其语),l19(斯瓦希里语),META_TYPE,META_DESCRIPTION,META_REFERENCES
Elis,Elis,,,,,,,,,埃利斯,,,,,,,,,,地名,伯罗奔尼撒城邦,campaign_03_06
Korinth,Korinth,,,,,,,,,科林斯,,,,,,,,,,地名,古希腊城邦,campaign_03_06
Sparta,Sparta,,,,,,,,,斯巴达,,,,,,,,,,地名,古希腊军事城邦,campaign_03_06
Megara,Megara,,,,,,,,,墨伽拉,,,,,,,,,,地名,古希腊城邦,campaign_03_06
Eliser,Eliser,,,,,,,,,埃利斯人,,,,,,,,,,部族,埃利斯之民,campaign_03_06
Läufer,Runner,,,,,,,,,赛跑者,,,,,,,,,,身份,奥林匹亚竞技之赛跑者,campaign_03_06
Nomadenkrieger,nomad warriors,,,,,,,,,游牧战士,,,,,,,,,,部族,崇拜宙斯之游牧武士,campaign_03_06
Kronos,Kronos,,,,,,,,,克洛诺斯,,,,,,,,,,神明,提坦神，宙斯之父,campaign_03_06
Flammenmeer,Flammenmeer,,,,,,,,,火海,,,,,,,,,,地名,斯巴达地下熔岩秘窟,campaign_03_06_sub2
Elfenbein,ivory,,,,,,,,,象牙,,,,,,,,,,材料,巨像裸身镶饰所用,campaign_03_06
Edelmetalle,precious metals,,,,,,,,,贵金属,,,,,,,,,,材料,嵌于权杖之稀有金属,campaign_03_06
Nike,Nike,,,,,,,,,尼刻,,,,,,,,,,神明,胜利女神，立于宙斯右手,campaign_03_06
Zeusstatue,Statue of Zeus,,,,,,,,,宙斯巨像,,,,,,,,,,奇迹,世界奇迹5（菲狄亚斯塑）,campaign_03_06
Merobaudes,Merobaudes,,,,,,,,,梅罗鲍德斯,,,,,,,,,,人名,singleplayer_01_07 角色,singleplayer_01_07
Nanuk,Nanuk,,,,,,,,,纳努克,,,,,,,,,,人名,weinachten_2002 角色,weinachten_2002
Linda,Linda,,,,,,,,,琳达,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Petros,Petros,,,,,,,,,佩特罗斯,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Buerokrates,Buerokrates,,,,,,,,,官僚布罗克拉特斯,,,,,,,,,,人名,campaign_03_03 角色（戏仿官僚）,campaign_03_03
Sekretarios,Sekretarios,,,,,,,,,秘书塞克拉塔里奥斯,,,,,,,,,,人名,campaign_03_03 角色（戏仿秘书）,campaign_03_03
Metros,Metros,,,,,,,,,梅特罗斯,,,,,,,,,,人名,campaign_03_03 角色,campaign_03_03
Prof. Wamugo,Prof. Wamugo,,,,,,,,,瓦穆戈教授,,,,,,,,,,人名,_campaign_04_03 角色,_campaign_04_03; _campaign_04_05
Tankred,Tankred,,,,,,,,,坦克雷德,,,,,,,,,,人名,campaign_01_02-sub 角色,campaign_01_02-sub
Johannes,Johannes,,,,,,,,,约翰内斯,,,,,,,,,,人名,campaign_02_04 角色,campaign_02_04
Smilch,Smilch,,,,,,,,,斯米尔奇,,,,,,,,,,人名,campaign_02_04 角色,campaign_02_04
Dobur,Dobur,,,,,,,,,多布尔,,,,,,,,,,人名,campaign_02_04 角色,campaign_02_04
NORMANDIE,NORMANDY,,,,,,,,,诺曼底,,,,,,,,,,地名,法国北部地区,campaign_01_02
ENGLAND,ENGLAND,,,,,,,,,英格兰,,,,,,,,,,地名,英国,campaign_01_03
ITALIEN,ITALY,,,,,,,,,意大利,,,,,,,,,,地名,南欧,campaign_01_04
MIKLAGARD,MIKLAGARD,,,,,,,,,米克拉加德,,,,,,,,,,地名,维京对君士坦丁堡的称呼,campaign_01_05
ALEXANDRIA,ALEXANDRIA,,,,,,,,,亚历山大港,,,,,,,,,,地名,埃及港口城市,campaign_01_08; campaign_03_01
PALÄSTINA,PALESTINE,,,,,,,,,巴勒斯坦,,,,,,,,,,地名,中东地区,campaign_01_09
BAGDAD,BAGHDAD,,,,,,,,,巴格达,,,,,,,,,,地名,伊拉克首都,campaign_01_10
WALHALLA,VALHALLA,,,,,,,,,瓦尔哈拉,,,,,,,,,,地名,北欧神话，英灵殿,campaign_02_06
NORDLAND,NORTHLAND,,,,,,,,,北地,,,,,,,,,,地名,北方之地,campaign_02_06
HEL'S REICH,HEL'S REALM,,,,,,,,,海尔之国,,,,,,,,,,地名,北欧神话，死亡女神Hel的领地,campaign_02_07
PHAROS,PHAROS,,,,,,,,,法罗斯,,,,,,,,,,地名,亚历山大港外岛屿，灯塔所在地,campaign_03_01
RHODOS,RHODES,,,,,,,,,罗德岛,,,,,,,,,,地名,希腊岛屿，巨像所在地,campaign_03_03
GIZEH,GIZA,,,,,,,,,吉萨,,,,,,,,,,地名,埃及金字塔所在地,campaign_03_07
THULE,THULE,,,,,,,,,图勒,,,,,,,,,,地名,北欧神话中的极北之地,campaign_01_03
LONDON,LONDON,,,,,,,,,伦敦,,,,,,,,,,地名,英国首都,campaign_01_03
NOTTINGHAM,NOTTINGHAM,,,,,,,,,诺丁汉,,,,,,,,,,地名,英国城市,campaign_01_03
PARIS,PARIS,,,,,,,,,巴黎,,,,,,,,,,地名,法国首都,campaign_01_02
RATINGEN,RATINGEN,,,,,,,,,拉廷根,,,,,,,,,,地名,德国城市,campaign_01_02
OBERKIRCH,OBERKIRCH,,,,,,,,,奥伯基希,,,,,,,,,,地名,德国城市,campaign_01_02
BRISTOL,BRISTOL,,,,,,,,,布里斯托尔,,,,,,,,,,地名,英国城市,campaign_01_03
YORK,YORK,,,,,,,,,约克,,,,,,,,,,地名,英国城市,campaign_01_03
BABYLON,BABYLON,,,,,,,,,巴比伦,,,,,,,,,,地名,古巴比伦城,campaign_03_02; _campaign_04_04
ANTIOCHIA,ANTIOCHIA,,,,,,,,,安条克,,,,,,,,,,地名,古叙利亚城市,singleplayer_01_05
AKKON,AKKON,,,,,,,,,阿克,,,,,,,,,,地名,黎凡特城市,singleplayer_01_10
HAITABU,HAITABU,,,,,,,,,海塔布,,,,,,,,,,地名,维京时代重要贸易站,singleplayer_01_04
MONTSERAINE,MONTSERAINE,,,,,,,,,蒙特塞雷恩,,,,,,,,,,地名,demo_singleplayer_02 虚构地名,demo_singleplayer_02
LINDOS,LINDOS,,,,,,,,,林多斯,,,,,,,,,,地名,罗德岛古城,campaign_03_03
BIFROST,BIFROST,,,,,,,,,比弗罗斯特,,,,,,,,,,地名,北欧神话，彩虹桥,campaign_02_07-sub
GRAUHOLM,GRAUHOLM,,,,,,,,,格拉乌霍尔姆,,,,,,,,,,地名,_campaign_04_01_sub3 虚构地名,_campaign_04_01_sub3
SÄRKLAND,SARKLAND,,,,,,,,,萨尔克兰,,,,,,,,,,地名,维京对中东/巴格达地区的称呼,campaign_01_10
Fenriswolf,Fenris Wolf,,,,,,,,,芬里尔狼,,,,,,,,,,神话,北欧神话，Loki之子，巨狼,campaign_02_04; campaign_02_05
Fenrir,Fenrir,,,,,,,,,芬里尔,,,,,,,,,,神话,芬里尔狼的别名,campaign_02_04; campaign_02_05
Midgardschlange,Midgard Serpent,,,,,,,,,米德加德之蛇,,,,,,,,,,神话,北欧神话，Loki之子，耶梦加得,campaign_01_11
Yggdrasil,Yggdrasil,,,,,,,,,世界树,,,,,,,,,,神话,北欧神话，宇宙之树,campaign_02_06
Yggdrasils-Orden,Yggdrasil Order,,,,,,,,,世界树教团,,,,,,,,,,神话,游戏组织,campaign_02_06
Warägergarde,Waräger Guard,,,,,,,,,瓦良格卫队,,,,,,,,,,军事,拜占庭皇帝的维京卫队,campaign_01_06; campaign_01_07
Aquas,Aquas,,,,,,,,,阿夸斯,,,,,,,,,,生物,水龙,_campaign_04_01; _campaign_04_04_sub2
Feuerdrachen,Fire Dragons,,,,,,,,,火龙,,,,,,,,,,生物,_campaign_04 系列,_campaign_04_01
Steindrachen,Stone Dragons,,,,,,,,,石龙,,,,,,,,,,生物,_campaign_04 系列,_campaign_04_01
Wasserdrachen,Water Dragons,,,,,,,,,水龙,,,,,,,,,,生物,_campaign_04 系列,_campaign_04_01
Schwarzdrachen,Black Dragons,,,,,,,,,黑龙,,,,,,,,,,生物,_campaign_04_02_sub2,_campaign_04_02_sub2
Erddrachen,Earth Dragons,,,,,,,,,地龙,,,,,,,,,,生物,_campaign_04_05,_campaign_04_05
Zauberdrachen,Magic Dragons,,,,,,,,,魔法龙,,,,,,,,,,生物,_campaign_04_05,_campaign_04_05
Schlangenkrieger,Serpent Warriors,,,,,,,,,蛇战士,,,,,,,,,,军事,蛇族战士,campaign_02_01
Schlangenvolk,Serpent People,,,,,,,,,蛇族,,,,,,,,,,种族,蛇形人种,campaign_01_11; singleplayer_01_08
Schlangendämonen,Serpent Demons,,,,,,,,,蛇魔,,,,,,,,,,生物,蛇形恶魔,demo_singleplayer_02; singleplayer_02_06
Schlangenwächter,Serpent Guard,,,,,,,,,蛇卫,,,,,,,,,,军事,蛇族守卫,campaign_01_10-sub
Nebelschlangen,Fog Serpents,,,,,,,,,雾蛇,,,,,,,,,,生物,singleplayer_02_03-sub3,singleplayer_02_03-sub3
Geisterkrieger,Ghost Warriors,,,,,,,,,幽灵战士,,,,,,,,,,军事,Loki的幽灵战士,campaign_02_07; campaign_02_08
Werwölfkrieger,Werewolf Warriors,,,,,,,,,狼人战士,,,,,,,,,,军事,狼人战士,campaign_02_07
Wolfskreaturen,Wolf Creatures,,,,,,,,,狼人生物,,,,,,,,,,生物,singleplayer_02_01-sub5,singleplayer_02_01-sub5
Drachen,Dragons,,,,,,,,,龙,,,,,,,,,,生物,龙族总称,campaign_03_02_sub
Plattländer,Lowlanders,,,,,,,,,低地人,,,,,,,,,,种族,多人地图部族,multiplayer_005; multiplayer_101
Highländer,Highlanders,,,,,,,,,高地人,,,,,,,,,,种族,多人地图部族,multiplayer_005; multiplayer_101
Nomaden,Nomads,,,,,,,,,游牧民,,,,,,,,,,种族,游牧民族,campaign_01_08; campaign_03_01
Hafenvolk,Harbour People,,,,,,,,,港口民,,,,,,,,,,种族,港口部族,campaign_01_10; campaign_03_05
Bergvolk,Mountain Tribe,,,,,,,,,山地部族,,,,,,,,,,种族,山地部族,campaign_03_01
Sandleute,Sand Dwellers,,,,,,,,,沙民,,,,,,,,,,种族,沙漠部族,multiplayer_204
Schneeschieber,Snow Pushers,,,,,,,,,推雪者,,,,,,,,,,种族,多人地图部族,multiplayer_204
Dunkelländer,Darklanders,,,,,,,,,暗地人,,,,,,,,,,种族,多人地图部族,multiplayer_101
Finsterländer,Gloomlanders,,,,,,,,,幽地人,,,,,,,,,,种族,多人地图部族,multiplayer_201
Markländer,Marklanders,,,,,,,,,边地人,,,,,,,,,,种族,singleplayer_02_03 部族,singleplayer_02_03
Helluländer,Hellulanders,,,,,,,,,赫鲁兰人,,,,,,,,,,种族,singleplayer_02_03 部族,singleplayer_02_03
Goldmangies,Goldmangies,,,,,,,,,金曼吉斯人,,,,,,,,,,种族,singleplayer_02_03 部族,singleplayer_02_03
Graukimos,Greykimos,,,,,,,,,灰爱斯基摩人,,,,,,,,,,种族,weinachten_2002 部族,weinachten_2002
Gelbimos,Yellimos,,,,,,,,,黄爱斯基摩人,,,,,,,,,,种族,weinachten_2002 部族,weinachten_2002
Schwarzimos,Blackimos,,,,,,,,,黑爱斯基摩人,,,,,,,,,,种族,weinachten_2002 部族,weinachten_2002
Hüter,Keepers,,,,,,,,,守护者,,,,,,,,,,种族,神秘组织,singleplayer_02_03
Hüter des Wissens,Keepers of Knowledge,,,,,,,,,知识守护者,,,,,,,,,,种族,守护者分支,singleplayer_02_03
Beduinen,Bedouins,,,,,,,,,贝都因人,,,,,,,,,,种族,阿拉伯游牧民族,campaign_03_07
Inselvolk,Island People,,,,,,,,,岛民,,,,,,,,,,种族,campaign_03_08 部族,campaign_03_08
Dunkles Heer,Dark Army,,,,,,,,,暗黑军团,,,,,,,,,,军事,敌对势力,campaign_03_07
Räuber,Robbers,,,,,,,,,强盗,,,,,,,,,,军事,通用敌对单位,campaign_03_02; tutorial_007
Banditen,Brigands,,,,,,,,,匪徒,,,,,,,,,,军事,敌对单位,campaign_01_05
Wachen,Guards,,,,,,,,,守卫,,,,,,,,,,军事,通用单位,campaign_03_01_sub
Händler,Merchant,,,,,,,,,商人,,,,,,,,,,职业,贸易单位（剧情中）,campaign_03_05; singleplayer_03_03
Fährmann,Ferryman,,,,,,,,,渡船夫,,,,,,,,,,职业,渡船人,campaign_02_04; _campaign_04_01
Leuchtturm von Pharos,Pharos Lighthouse,,,,,,,,,法罗斯灯塔,,,,,,,,,,奇迹,世界奇迹1,campaign_03_01
Koloss von Rhodos,Colossus of Rhodes,,,,,,,,,罗德岛太阳神巨像,,,,,,,,,,奇迹,世界奇迹2,campaign_03_03
Hängende Gärten von Semiramis,Hanging Gardens of Semiramis,,,,,,,,,塞弥拉弥斯空中花园,,,,,,,,,,奇迹,世界奇迹3,campaign_03_02
Mausoleum,Mausoleum,,,,,,,,,摩索拉斯王陵,,,,,,,,,,奇迹,世界奇迹4,campaign_03_04
Tempel der Artemis,Temple of Artemis,,,,,,,,,阿尔忒弥斯神庙,,,,,,,,,,奇迹,世界奇迹5,campaign_03_05
Zeustatue des Phidias,Zeus Statue of Phidias,,,,,,,,,菲狄亚斯宙斯神像,,,,,,,,,,奇迹,世界奇迹6,campaign_03_06
Pyramiden von Gizeh,Pyramids of Giza,,,,,,,,,吉萨金字塔,,,,,,,,,,奇迹,世界奇迹7,campaign_03_07
Das achte Weltwunder,Eighth Wonder of the World,,,,,,,,,第八世界奇迹,,,,,,,,,,奇迹,世界奇迹8，游戏终极目标,campaign_03_08
Orakel,Oracle,,,,,,,,,神谕,,,,,,,,,,神话,神谕所/神谕者,campaign_03_03_sub3
Semiramis,Semiram,,,,,,,,,塞弥拉弥斯,,,,,,,,,,人名,传说中空中花园的建造者,campaign_03_02
Bjarnis Stamm,Bjarni's Tribe,,,,,,,,,比雅尼的部族,,,,,,,,,,种族,Bjarni的维京部族,campaign_01_02
Bjarnis Volk,Bjarni's People,,,,,,,,,比雅尼的子民,,,,,,,,,,种族,Bjarni的维京子民,singleplayer_01_04
Bjarnis Dorf,Bjarni's Village,,,,,,,,,比雅尼的村庄,,,,,,,,,,地名,Bjarni的村庄,campaign_01_03
Hatschis Dorf,Hatchie's Village,,,,,,,,,哈奇的村庄,,,,,,,,,,地名,Hatschi的村庄,campaign_02_01
Sigurds Festung,Sigurd's Fortress,,,,,,,,,西格德的要塞,,,,,,,,,,地名,Sigurd的要塞,campaign_02_03
Sigurds Burg,Sigurd's Castle,,,,,,,,,西格德的城堡,,,,,,,,,,地名,Sigurd的城堡,campaign_02_04
Königreich Thule,Kingdom of Thule,,,,,,,,,图勒王国,,,,,,,,,,地名,Thule王国,campaign_01_03
König Thule,King Thule,,,,,,,,,图勒国王,,,,,,,,,,人名,Thule国王,campaign_01_03
Meisterschmied Wieland,Wieland the Blacksmith,,,,,,,,,铁匠大师维兰,,,,,,,,,,人名,传奇铁匠Wieland,campaign_01_03
General Hardradi,General Hardradi,,,,,,,,,哈德拉迪将军,,,,,,,,,,人名,拜占庭将军,campaign_01_07
Ali Babas Bruder,Ali Baba's Brother,,,,,,,,,阿里巴巴的兄弟,,,,,,,,,,人名,campaign_01_08 角色,campaign_01_08
Ykol (Loki),Ykol (Loki),,,,,,,,,伊科尔（洛基）,,,,,,,,,,人名,Ykol的真实身份是Loki,campaign_02_08
Herostrates Erben,Herostrates' Heirs,,,,,,,,,希罗斯特拉特斯的继承者,,,,,,,,,,军事,纵火者组织,campaign_03_05; campaign_03_05_sub1
Miguels Freunde,Miguel's Friends,,,,,,,,,米格尔的朋友们,,,,,,,,,,军事,singleplayer_02_01-sub4,singleplayer_02_01-sub4
Miguels Stamm,Miguel's tribe,,,,,,,,,米格尔的部族,,,,,,,,,,种族,singleplayer_02_01,singleplayer_02_01
Anführer der Hüter,Keepers' Leader,,,,,,,,,守护者首领,,,,,,,,,,人名,守护者组织首领,singleplayer_02_03-sub1
Soldaten der Hüter,Keepers' Soldiers,,,,,,,,,守护者士兵,,,,,,,,,,军事,守护者士兵,singleplayer_02_03-sub1
Brückenwächter,Bridge Guard,,,,,,,,,桥卫,,,,,,,,,,军事,守桥人,campaign_01_05; campaign_01_07
Kopfgeldjäger,Bounty Hunter,,,,,,,,,赏金猎人,,,,,,,,,,军事,campaign_01_10,campaign_01_10
Sarazenen Dorf,Saracen Village,,,,,,,,,撒拉逊村庄,,,,,,,,,,地名,撒拉逊人村庄,campaign_01_10
Sarazenenheer,Saracen Army,,,,,,,,,撒拉逊军队,,,,,,,,,,军事,撒拉逊军队,singleplayer_01_10
Frankenprinzessin,Frankish Princess,,,,,,,,,法兰克公主,,,,,,,,,,人名,campaign_01_02 角色,campaign_01_02
Normannenprinz,Norman Prince,,,,,,,,,诺曼底王子,,,,,,,,,,人名,campaign_01_02 角色,campaign_01_02
Prinzessin,Princess,,,,,,,,,公主,,,,,,,,,,人名,通用公主,campaign_01_02-sub; campaign_01_05-sub
Prinz,Prince,,,,,,,,,王子,,,,,,,,,,人名,通用王子,campaign_01_02-sub
Frankenkönig,King of the Franks,,,,,,,,,法兰克国王,,,,,,,,,,人名,法兰克国王,singleplayer_01_09
König Mausolos,King Mausolos,,,,,,,,,毛索洛斯国王,,,,,,,,,,人名,哈利卡纳苏斯国王,campaign_03_04
Königin Artemisia,Queen Artemisia,,,,,,,,,阿耳忒弥西亚女王,,,,,,,,,,人名,毛索洛斯之妻,campaign_03_04
Häuptling,Chieftain,,,,,,,,,酋长,,,,,,,,,,人名,部落酋长,weinachten_2002
Häuptling Oasiens,Chieftain of Oasia,,,,,,,,,绿洲酋长,,,,,,,,,,人名,singleplayer_03_01,singleplayer_03_01
Der Hexer,The Sorcerer,,,,,,,,,巫师,,,,,,,,,,人名,singleplayer_01_08 角色,singleplayer_01_08
Der Druide,The Druid,,,,,,,,,德鲁伊,,,,,,,,,,人名,singleplayer_02_03 角色,singleplayer_02_03
Der General,The General,,,,,,,,,将军,,,,,,,,,,人名,campaign_03_05 角色,campaign_03_05
Tyrann,Tyrant,,,,,,,,,暴君,,,,,,,,,,人名,campaign_02_04 角色,campaign_02_04
Leibgarde,Bodyguard,,,,,,,,,贴身卫队,,,,,,,,,,军事,护卫,singleplayer_02_03-sub1
Kamelwache,Camel Guard,,,,,,,,,骆驼守卫,,,,,,,,,,军事,singleplayer_03_01,singleplayer_03_01
Erkundungstrupp,Scouts,,,,,,,,,侦察队,,,,,,,,,,军事,singleplayer_03_02,singleplayer_03_02
Wolfsrudel,Wolf Pack,,,,,,,,,狼群,,,,,,,,,,生物,野狼群,singleplayer_03_03
Bergdorf,Mountain Village,,,,,,,,,山地村,,,,,,,,,,地名,singleplayer_03_03,singleplayer_03_03
Bergfestung,Mountain Fortress,,,,,,,,,山间要塞,,,,,,,,,,地名,campaign_01_05,campaign_01_05
Verlassenes Dorf,Abandoned Village,,,,,,,,,废弃村庄,,,,,,,,,,地名,campaign_02_02,campaign_02_02
Außenposten Londons,London Outpost,,,,,,,,,伦敦前哨,,,,,,,,,,地名,campaign_01_03,campaign_01_03
Fenris Horden,Fenrir's Hordes,,,,,,,,,芬里尔的部落,,,,,,,,,,军事,芬里尔狼的爪牙,campaign_02_05
Loki's Geisterkrieger,Loki's Ghost Warriors,,,,,,,,,洛基的幽灵战士,,,,,,,,,,军事,Loki的幽灵战士,campaign_02_08
Drachensklaven,Dragon Slaves,,,,,,,,,龙奴,,,,,,,,,,军事,龙的奴隶,singleplayer_03_04
Piraten,Pirates,,,,,,,,,海盗,,,,,,,,,,军事,海盗,singleplayer_03_04
Grabräuber,Grave Robbers,,,,,,,,,盗墓贼,,,,,,,,,,军事,singleplayer_03_05,singleplayer_03_05
Wolfsmenschenführer,Wolf Leader,,,,,,,,,狼人首领,,,,,,,,,,人名,singleplayer_02_01-sub5,singleplayer_02_01-sub5
Kolonialisierung,Colonization,,,,,,,,,殖民化,,,,,,,,,,游戏术语,多人地图模式,multiplayer_105
Flagge erobern,Cap the Flag,,,,,,,,,夺旗,,,,,,,,,,游戏术语,多人地图模式,multiplayer_204; multiplayer_005
Kuh erobern,Cap the Cow,,,,,,,,,夺牛,,,,,,,,,,游戏术语,多人地图模式,multiplayer_004; multiplayer_205
Koop,Coop,,,,,,,,,合作,,,,,,,,,,游戏术语,多人合作模式,multiplayer_007; multiplayer_101
Odin,Odin,,,,,,,,,奥丁,,,,,,,,,,神话人物,北欧神话，众神之父,campaign_01_01
Eisriesen,Ice Giants,,,,,,,,,冰巨人,,,,,,,,,,神话生物,冰霜巨人族,campaign_01_01
Schicksalsschwestern,Fate Sisters,,,,,,,,,命运三姐妹,,,,,,,,,,神话称谓,诺恩三女神的别称,campaign_01_01
Odins Tafel,Odin's Table,,,,,,,,,奥丁的宴席,,,,,,,,,,神话概念,英灵殿中奥丁的盛宴,campaign_01_01
Normannen,Normans,,,,,,,,,诺曼人,,,,,,,,,,种族,定居诺曼底的北欧人后裔,campaign_01_02
St. Pierre,St. Pierre,,,,,,,,,圣皮埃尔,,,,,,,,,,地名,法兰克山谷和修道院,campaign_01_02
Informant,Informant,,,,,,,,,线人,,,,,,,,,,职业,提供情报的神秘人,campaign_01_02
Zauberschwert,Magic Sword,,,,,,,,,魔法剑,,,,,,,,,,物品,维兰锻造的神兵,campaign_01_03
Little John,Little John,,,,,,,,,小约翰,,,,,,,,,,人名,罗宾汉的副手,campaign_01_03
Sheriff von Nottingham,Sheriff of Nottingham,,,,,,,,,诺丁汉治安官,,,,,,,,,,人名,campaign_01_03 角色,campaign_01_03
Briten,Britons,,,,,,,,,不列颠人,,,,,,,,,,种族,不列颠岛居民,campaign_01_03
Müller,Miller,,,,,,,,,磨坊主,,,,,,,,,,职业,操作磨坊的工人,campaign_01_01
Bäcker,Baker,,,,,,,,,烘焙师,,,,,,,,,,职业,烘焙面包的工人,campaign_01_01
Zivilist,Civilian,,,,,,,,,平民,,,,,,,,,,职业,村庄中的平民居民,campaign_01_01
Tribut,Tribute,,,,,,,,,贡品,,,,,,,,,,物品,需缴纳的贡品/税负,campaign_01_01
Straße,Road,,,,,,,,,道路,,,,,,,,,,建筑,连接两地的道路,campaign_01_01
Haus,House,,,,,,,,,房屋,,,,,,,,,,建筑,村民居住的房屋,campaign_01_01
Bedürfnis,Need,,,,,,,,,需求,,,,,,,,,,概念,村民的自然需求（饮食/睡眠/娱乐）,campaign_01_01
Julia,Juliet,,,,,,,,,朱丽叶,,,,,,,,,,人名,法兰克公主，致敬罗密欧与朱丽叶,campaign_01_02
Romeo,Romeo,,,,,,,,,罗密欧,,,,,,,,,,人名,诺曼王子，致敬罗密欧与朱丽叶,campaign_01_02
Britannien,Brittany,,,,,,,,,不列颠,,,,,,,,,,地名,英国岛，campaign_01_02 航行目的地,campaign_01_02
Abtei,Abbey,,,,,,,,,修道院,,,,,,,,,,建筑,圣皮埃尔修道院,campaign_01_02
Töpfer,Potter,,,,,,,,,陶工,,,,,,,,,,职业,制作砖瓦陶器的工匠,campaign_01_02
Näher,Tailor,,,,,,,,,裁缝,,,,,,,,,,职业,制作鞋与皮甲的工匠,campaign_01_02
Viehzüchter,Stock Farmer,,,,,,,,,畜牧工,,,,,,,,,,职业,饲养牛羊的工匠,campaign_01_02
Plattenrüstung,Plate Armour,,,,,,,,,板甲,,,,,,,,,,物品,护甲,campaign_01_02
Handelsschiff,Merchant Ship,,,,,,,,,商船,,,,,,,,,,车辆,运输工具,campaign_01_02
Schriftrolle,Scroll,,,,,,,,,卷轴,,,,,,,,,,物品,开启建筑蓝图,campaign_01_02
Schmiede,Smithy,,,,,,,,,铁匠铺,,,,,,,,,,建筑,生产铁质工具武器,campaign_01_02
Schreinerei,Carpenter's Workshop,,,,,,,,,木工坊,,,,,,,,,,建筑,生产木质工具,campaign_01_02
Steinmetzhütte,Stonemason's Workshop,,,,,,,,,石匠坊,,,,,,,,,,建筑,生产石料,campaign_01_02
Töpferei,Pottery,,,,,,,,,陶艺坊,,,,,,,,,,建筑,生产砖瓦,campaign_01_02
Lehmabbauer,Clay-worker,,,,,,,,,采泥工,,,,,,,,,,职业,采集黏土,campaign_01_02
Erzabbauer,Ore Miner,,,,,,,,,矿工,,,,,,,,,,职业,采矿石,campaign_01_02
Holzabbauer,Woodcutter,,,,,,,,,伐木工,,,,,,,,,,职业,伐木,campaign_01_02
Jäger,Huntsman,,,,,,,,,猎人,,,,,,,,,,职业,狩猎与皮革,campaign_01_02
Viehzüchterei,Cattle Farm,,,,,,,,,畜牧场,,,,,,,,,,建筑,饲养牲畜,campaign_01_02
Lederrüstung,Leather Armour,,,,,,,,,皮甲,,,,,,,,,,物品,护甲,campaign_01_02
Öl,Oil,,,,,,,,,油,,,,,,,,,,物品,精油/食用油,campaign_01_03
Sherwood,Sherwood,,,,,,,,,舍伍德,,,,,,,,,,地点,舍伍德森林，罗宾汉活动地,campaign_01_03
Brite,Briton,,,,,,,,,不列颠人,,,,,,,,,,阵营,不列颠原住民,campaign_01_03
Alben,Alf,,,,,,,,,精灵,,,,,,,,,,神话人物,北欧神话中的精灵/侏儒族,campaign_01_03
Erzbischof,Archbishop,,,,,,,,,大主教,,,,,,,,,,职业,教会高阶教职,campaign_01_03
Robin,Robin,,,,,,,,,罗宾,,,,,,,,,,人名,罗宾汉之名,campaign_01_03
Benevent,Benevent,,,,,,,,,贝内文托,,,,,,,,,,地点,意大利城市,campaign_01_04
Napoli,Naples,,,,,,,,,那不勒斯,,,,,,,,,,地点,意大利城市,campaign_01_04
Roma,Rome,,,,,,,,,罗马,,,,,,,,,,地点,意大利城市,campaign_01_04
Gibraltar,Gibraltar,,,,,,,,,直布罗陀,,,,,,,,,,地点,直布罗陀海峡,campaign_01_04
Waräger,,,,,,,,,,瓦良格,,,,,,,,,,种族,,
Kaiser,,,,,,,,,,皇帝,,,,,,,,,,官职,,
General,,,,,,,,,,将军,,,,,,,,,,官职,,
Imperator,,,,,,,,,,君主,,,,,,,,,,官职,,
Hardradis Soldaten,,,,,,,,,,哈尔德拉迪的士兵,,,,,,,,,,军事,,
Flüchtlinge,,,,,,,,,,难民,,,,,,,,,,称谓,,
Tante,,,,,,,,,,姑母,,,,,,,,,,称谓,,
Cäsaren,,,,,,,,,,恺撒,,,,,,,,,,人名,,
Allah,,,,,,,,,,安拉,,,,,,,,,,宗教,,
Sesambrötchen,,,,,,,,,,芝麻开门,,,,,,,,,,神话,,
Felsengarten,,,,,,,,,,岩石花园,,,,,,,,,,建筑,,
Lampengeist,,,,,,,,,,灯神,,,,,,,,,,神话,,
Oase,,,,,,,,,,绿洲,,,,,,,,,,地名,,
Basar,,,,,,,,,,集市,,,,,,,,,,建筑,,
Universität,,,,,,,,,,学府,,,,,,,,,,建筑,,
Harun,,,,,,,,,,哈伦,,,,,,,,,,人名,,
Kalif,,,,,,,,,,哈里发,,,,,,,,,,官职,,
Karawane,,,,,,,,,,商队,,,,,,,,,,通用,,
Waffenstillstand,,,,,,,,,,停战,,,,,,,,,,抽象,,
Kreuzfahrer,,,,,,,,,,十字军,,,,,,,,,,军事,,
Sirenen,,,,,,,,,,塞壬,,,,,,,,,,神话,,
Golamedis,,,,,,,,,,戈拉梅迪司,,,,,,,,,,人名,,
Kismet,,,,,,,,,,定数,,,,,,,,,,抽象,,
Wielands Zauberschwert,,,,,,,,,,维兰的魔法剑,,,,,,,,,,物品,,
Tigris,,,,,,,,,,底格里斯,,,,,,,,,,地名,,
Dieb,,,,,,,,,,盗贼,,,,,,,,,,职业,,
Volksfront,,,,,,,,,,人民阵线,,,,,,,,,,组织,,
Jormungander,,,,,,,,,,耶梦加得,,,,,,,,,,神话,,
